timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2023/04/15 11:54:17.728, 2 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 127.97 W, 55, 1860 MHz
2023/04/15 11:54:18.730, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.41 W, 55, 1860 MHz
2023/04/15 11:54:19.732, 1 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.12 W, 55, 1860 MHz
2023/04/15 11:54:20.733, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.37 W, 55, 1860 MHz
2023/04/15 11:54:21.735, 1 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 128.04 W, 55, 1860 MHz
2023/04/15 11:54:22.737, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.92 W, 55, 1860 MHz
2023/04/15 11:54:23.739, 1 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.82 W, 55, 1860 MHz
2023/04/15 11:54:24.746, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.13 W, 55, 1860 MHz
2023/04/15 11:54:25.748, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 127.45 W, 55, 1860 MHz
2023/04/15 11:54:26.750, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.40 W, 55, 1860 MHz
2023/04/15 11:54:27.751, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.07 W, 55, 1860 MHz
2023/04/15 11:54:28.753, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.83 W, 55, 1860 MHz
2023/04/15 11:54:29.755, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.60 W, 55, 1860 MHz
2023/04/15 11:54:30.756, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.56 W, 55, 1860 MHz
2023/04/15 11:54:31.758, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.61 W, 55, 1860 MHz
2023/04/15 11:54:32.760, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.59 W, 55, 1860 MHz
2023/04/15 11:54:33.761, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.67 W, 55, 1860 MHz
2023/04/15 11:54:34.763, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.79 W, 55, 1860 MHz
2023/04/15 11:54:35.765, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 124.72 W, 55, 1860 MHz
2023/04/15 11:54:36.766, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 128.38 W, 55, 1860 MHz
2023/04/15 11:54:37.768, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.18 W, 55, 1860 MHz
2023/04/15 11:54:38.770, 4 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.67 W, 55, 1860 MHz
2023/04/15 11:54:39.772, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.63 W, 55, 1860 MHz
2023/04/15 11:54:40.774, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.49 W, 55, 1860 MHz
2023/04/15 11:54:41.776, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.26 W, 55, 1860 MHz
2023/04/15 11:54:42.778, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.79 W, 55, 1860 MHz
2023/04/15 11:54:43.780, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.41 W, 55, 1860 MHz
2023/04/15 11:54:44.782, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.64 W, 55, 1860 MHz
2023/04/15 11:54:45.784, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.68 W, 55, 1860 MHz
2023/04/15 11:54:46.786, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.47 W, 55, 1860 MHz
2023/04/15 11:54:47.788, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.53 W, 55, 1860 MHz
2023/04/15 11:54:48.790, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.19 W, 55, 1860 MHz
2023/04/15 11:54:49.793, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.19 W, 55, 1860 MHz
2023/04/15 11:54:50.795, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.35 W, 55, 1860 MHz
2023/04/15 11:54:51.797, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.35 W, 55, 1860 MHz
2023/04/15 11:54:52.799, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.24 W, 55, 1860 MHz
2023/04/15 11:54:53.801, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.21 W, 55, 1860 MHz
2023/04/15 11:54:54.803, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.43 W, 55, 1860 MHz
2023/04/15 11:54:55.805, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.32 W, 55, 1860 MHz
2023/04/15 11:54:56.807, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.09 W, 55, 1860 MHz
2023/04/15 11:54:57.809, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.35 W, 55, 1860 MHz
2023/04/15 11:54:58.812, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.26 W, 55, 1860 MHz
2023/04/15 11:54:59.814, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.36 W, 55, 1860 MHz
2023/04/15 11:55:00.816, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.57 W, 55, 1860 MHz
2023/04/15 11:55:01.818, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.46 W, 55, 1860 MHz
2023/04/15 11:55:02.820, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.37 W, 55, 1860 MHz
2023/04/15 11:55:03.822, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.20 W, 55, 1860 MHz
2023/04/15 11:55:04.824, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.25 W, 55, 1860 MHz
2023/04/15 11:55:05.827, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.33 W, 55, 1860 MHz
